CYTH3,3.9469,3.9840,4.1650,4.3471,3.9898,3.6991,3.8000,4.1950
ADAM22,2.3407,2.4516,2.5413,2.6238,2.4120,2.4909,2.6377,2.5588
SYPL1,4.8408,4.5130,4.7360,4.9902,5.0376,4.5231,4.4337,4.0900
CYB561,2.9896,3.0850,2.9891,2.7737,2.5965,2.8763,3.3068,3.6255
SPAG9,4.4859,4.4346,4.5399,4.6563,4.7044,4.4727,4.5423,4.4128
CELSR3,1.4710,1.6349,1.7444,1.5861,1.4216,1.5182,1.5811,1.5295
AASS,2.2320,2.5671,2.6235,2.7961,2.5006,2.3696,2.1544,2.4657
PLEKHG6,0.0230,0.0694,0.0000,0.0442,0.0515,0.0216,0.0000,0.0288
SS18L2,4.4747,3.7671,3.3624,3.5018,4.0153,4.4269,4.5622,2.9492
MPND,3.4590,3.7109,3.6198,3.3384,3.1087,3.5120,3.7354,3.4449
MGST1,1.3537,1.0877,0.5728,0.8025,1.3420,1.8043,1.8106,1.7977
CRY1,2.0256,2.0291,2.0893,2.0824,2.1960,1.9892,2.0463,1.9717
PGLYRP1,0.3645,0.5619,0.1344,0.5508,0.4105,0.6551,0.4850,1.1120
NFIX,5.1597,5.4210,5.6016,5.7524,5.0462,5.1450,4.9525,5.3096
ST3GAL1,2.2453,2.6407,2.5735,2.7469,2.4577,2.2647,2.2450,2.8811
MMP25,1.7487,1.7831,1.9414,1.5116,1.3821,1.1396,1.2302,1.6989
IL32,2.7821,2.4838,2.5696,2.2120,2.7630,2.2672,2.1217,2.7464
PKD1,2.3211,2.8194,3.0710,2.8524,2.3637,2.6677,2.6488,2.7247
MAPK8IP2,4.8286,5.1591,4.9948,4.5919,4.6481,5.2135,5.3214,5.2124
MED24,3.6534,4.0966,4.2533,3.9213,3.7020,3.6678,3.8452,4.2061
RHOBTB2,3.6921,4.3341,4.4032,4.1487,3.5143,3.5119,4.0616,3.8958
HEATR5B,1.9323,2.0450,2.1886,2.2384,2.0381,1.9390,2.0490,1.9996
SEC62,4.4932,4.2977,4.2692,4.5265,4.5129,4.4372,4.4204,4.2549
RPS20,7.0615,6.0424,5.6252,5.1107,6.3110,6.7117,6.8752,5.5059
CSDE1,5.5071,5.3767,5.2945,5.5479,5.6392,5.4198,5.4767,5.3677
UBE3C,2.4399,2.6476,2.7853,2.8194,2.5465,2.5119,2.6067,2.5658
REV3L,2.2754,2.4477,2.6299,2.5646,2.3360,2.3827,2.4791,2.7689
ODZ1,1.6053,1.4870,1.3816,1.1743,1.5449,1.7438,2.0116,1.2332
PAX7,0.1492,0.1582,0.2173,0.1669,0.0523,0.0995,0.0656,0.1496
MASP2,0.7601,0.8105,0.8644,0.7770,0.9246,0.9220,1.0063,0.8020
IYD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0089,0.0000,0.0000
FAM76A,2.1685,1.7514,1.4370,1.7410,1.9724,2.0097,2.0809,1.5948
TRAF3IP3,0.3509,0.3810,0.2528,0.2430,0.4533,0.3571,0.3422,0.3276
POMT2,1.9165,2.0831,2.4018,2.4741,2.0825,1.7453,1.7221,2.3040
VTA1,4.0384,3.7208,3.6883,3.6188,3.8760,4.1716,4.2813,3.2929
MLXIPL,1.3174,1.4557,1.2941,1.5086,1.0203,0.9126,1.0518,0.7610
BAZ1B,3.2026,3.6026,3.6835,3.7486,3.2317,3.1527,3.1752,3.8566
RANBP9,3.7860,3.8532,3.7351,3.9652,3.9058,3.9793,4.0383,3.5780
ETV7,0.1951,0.1259,0.2146,0.0776,0.1345,0.0727,0.0271,0.2819
C1orf124,1.3519,1.3093,1.4980,1.4083,1.5483,1.4121,1.2699,1.6344
METTL13,2.2846,2.6184,2.4713,2.4452,2.2234,2.0244,2.3081,2.4092
DYRK4,2.2245,1.8336,1.7696,1.6350,1.9948,2.1295,2.2053,1.5912
ZNF207,2.9477,2.8327,2.7015,2.6878,2.9648,2.8435,2.9018,2.7861
UQCRC1,5.6064,5.7017,5.6622,5.5021,5.5410,5.3270,5.3782,5.2626
STARD3NL,4.3617,3.7035,3.3865,3.3892,4.1858,4.3681,4.4377,3.2985
CD9,5.7263,5.4643,5.2450,5.6146,5.8985,5.4764,5.3553,4.7715
HHATL,1.0444,1.2818,0.9470,1.6075,1.3810,1.0582,0.8145,1.8142
NCAPD2,1.8197,2.1018,2.0892,2.2107,1.8809,1.8034,1.7755,2.1105
IFFO1,2.1641,2.5105,2.4786,2.4918,2.2203,2.2148,2.2829,2.6066
GIPR,0.0000,0.1008,0.0000,0.0000,0.0000,0.0446,0.0000,0.1736
PHF7,1.2599,1.5853,1.3700,1.2125,1.4227,1.1110,1.3223,1.1696
SEMA3G,3.4806,3.7016,3.9661,4.0891,3.5618,2.9203,2.7888,4.6421
NISCH,3.1504,3.5069,3.6475,3.5465,3.1949,3.2642,3.3105,3.6151
STAB1,2.2156,2.4431,2.3914,2.0711,2.1685,1.9653,2.0116,2.2524
FUZ,3.6025,3.4699,3.5658,3.3564,3.3590,3.4391,3.4335,3.4882
SLC6A13,2.2766,2.7471,2.4620,2.6028,2.3889,1.9302,2.2519,2.5657
