DNAJC11,2.4115,2.5010,2.4716,3.0368,3.1314,3.2166,3.3694
FMO3,0.5297,0.1823,0.5170,0.2879,0.3915,0.4174,0.4313
MYLIP,1.8849,2.0626,2.3349,1.8592,2.3060,1.6692,2.1166
NOX1,0.7056,0.3959,0.5733,0.4078,0.3257,0.5095,0.6850
E2F2,0.0321,0.0246,0.0000,0.0000,0.0158,0.0413,0.0118
PSMB1,6.3234,5.9187,6.6318,6.4493,6.4323,6.1685,6.3364
SYN1,5.9736,5.6621,5.5087,6.3762,5.2767,6.6230,6.2900
JARID2,0.7237,0.9622,0.9846,1.1730,1.3766,1.4032,2.6779
CDKL5,0.5952,1.0038,0.3882,0.3398,0.4677,0.6832,0.3089
CAMK1G,3.7962,3.6663,3.6147,3.8030,4.3619,1.7473,1.2745
NADK,1.5072,1.5744,1.7326,1.8763,2.6051,1.9043,2.4526
TFAP2B,0.0143,0.0000,0.0000,0.0586,0.0000,0.0000,1.5614
TFAP2D,0.0462,0.0708,0.0000,0.8752,0.0459,0.0405,0.0000
DLEC1,1.7242,1.6450,1.9848,2.0894,1.8709,1.8309,1.5244
CYTH3,2.2925,2.8702,2.8995,2.5088,2.8555,2.3213,3.5184
ADAM22,1.7803,2.4347,2.4676,2.3140,2.2491,2.9806,3.7490
SYPL1,3.3072,4.2632,4.4261,3.9207,4.5559,4.3858,3.5747
CYB561,3.3483,3.1508,3.1883,3.6629,3.4532,4.2912,2.5222
SPAG9,2.8146,3.5557,3.5435,3.3444,3.5737,3.8593,3.6064
CELSR3,0.4913,0.6252,0.6691,1.0175,0.8140,1.2315,2.1017
AASS,0.3862,0.2411,0.2925,0.2884,0.4619,0.5701,0.2727
PLEKHG6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SS18L2,4.5443,4.5621,5.0401,4.9306,4.8598,4.1199,4.4318
MPND,4.3392,3.9908,4.1895,4.4379,3.5101,3.9914,3.5656
MGST1,2.1488,2.4694,3.3388,3.6076,2.8284,3.8475,3.1628
CRY1,1.2648,1.9678,2.3257,1.8883,2.3175,1.9703,3.4215
PGLYRP1,0.1754,0.3737,0.1043,0.2117,0.3894,0.1516,0.5876
NFIX,3.7177,3.8080,3.6109,4.0227,4.0185,3.6728,6.0096
ST3GAL1,0.9043,1.0150,0.8934,1.4147,0.9282,1.0478,1.3606
MMP25,0.5542,0.1851,0.3369,0.7247,0.3495,0.4930,0.7482
IL32,1.7488,1.2440,1.6733,1.6336,1.5699,1.5140,1.6629
PKD1,1.1577,0.9889,1.0605,1.7107,1.4143,1.9112,3.6414
MAPK8IP2,5.5655,4.9366,5.1092,6.2020,4.8869,5.7641,5.9542
MED24,2.8461,3.1686,2.7199,3.4559,3.2729,4.0245,3.5247
RHOBTB2,3.3900,3.6035,3.2441,3.0787,4.3957,3.7828,2.1675
HEATR5B,0.9335,1.2857,1.2528,1.4724,1.5613,2.4921,1.9614
SEC62,4.8278,5.2339,5.7917,5.4925,5.2060,5.5642,5.2849
RPS20,6.0482,5.7796,6.7751,6.3798,6.3775,5.7116,5.3972
CSDE1,4.4659,5.2627,5.3110,5.2442,5.4275,5.8416,5.7747
UBE3C,1.4331,2.1216,1.8153,2.0108,2.5344,2.9483,3.1653
REV3L,0.3908,1.0265,0.7384,0.8638,0.8159,1.1425,1.8654
ODZ1,0.8704,1.0606,1.5262,1.5338,1.0319,2.4344,2.6194
PAX7,0.1147,0.4396,0.3701,0.2538,0.1808,0.3998,0.0000
MASP2,0.1181,0.1672,0.1590,0.2346,0.1300,0.2339,1.2572
IYD,0.0000,0.0130,0.0083,0.0000,0.0000,0.4140,0.0000
FAM76A,1.2741,1.3156,1.6957,1.2734,1.3680,1.7532,2.3983
TRAF3IP3,0.2277,0.4218,0.3213,0.2729,0.3005,0.3360,0.3473
POMT2,0.8180,0.9118,0.8085,1.1971,1.4550,1.7043,1.4149
VTA1,3.6993,4.4614,4.4708,4.3253,3.9951,4.6575,4.3012
MLXIPL,0.8866,0.8123,0.9775,1.1252,0.4561,1.2884,2.1813
BAZ1B,1.7997,2.1059,1.7360,2.1884,2.5580,2.8122,3.1551
RANBP9,3.2325,4.0746,4.0336,3.8765,3.7932,4.6603,3.7101
ETV7,0.0369,0.1614,0.1552,0.1470,0.1044,0.0631,0.0794
C1orf124,0.5945,0.9994,1.0996,0.9898,1.0776,1.1605,1.1867
METTL13,2.2655,2.7951,2.5889,2.6573,2.9936,3.0737,3.4628
DYRK4,2.0850,1.7859,2.3577,2.2571,2.3795,2.1746,1.7629
ZNF207,2.4455,2.6641,2.9685,2.8274,2.9197,3.2133,3.4023
UQCRC1,6.5234,5.8615,6.1178,6.2197,5.9255,6.4425,6.4094
STARD3NL,3.3299,3.7499,4.3397,3.8240,3.8793,4.2097,3.9023
CD9,5.0097,5.3499,5.8216,5.7181,6.2768,5.4166,4.6199
HHATL,3.2447,2.8493,3.4194,2.7890,2.2503,3.2972,1.9637
NCAPD2,0.9318,0.8948,1.0919,1.2236,1.5800,1.3880,1.7159
IFFO1,2.0013,1.9253,1.7325,2.1769,1.8167,2.2805,3.0376
GIPR,0.1496,0.1237,0.0421,0.2170,0.4132,0.4218,0.0185
PHF7,0.8044,0.9815,1.0437,0.9298,1.3620,0.8966,1.4045
SEMA3G,1.1366,1.5514,1.3903,1.7307,2.0104,2.4609,1.8194
NISCH,2.9052,3.3439,2.9832,3.6570,3.4616,4.3481,4.1845
STAB1,1.0019,0.7186,0.9663,0.9661,0.7608,0.8789,0.9739
FUZ,3.7694,2.9520,3.6181,3.9823,3.4955,3.3806,3.9434
SLC6A13,1.0359,0.9894,1.0353,1.0134,1.3716,1.5182,1.6746
IDS,6.0618,6.8836,7.3168,6.8406,6.7655,6.2345,5.6951
PRSS3,5.9078,4.8373,6.0712,5.8189,4.4457,3.4901,6.7116
ZNF200,0.9815,1.2200,1.2548,1.1406,1.2214,1.2852,1.9370
CD4,1.2901,1.2917,1.2767,1.7489,1.3778,1.5586,1.5421
LRRC23,1.9546,2.0463,2.4480,2.7906,2.8167,2.6596,2.9238
BTK,0.3337,0.3870,0.3254,0.2748,0.3910,0.2967,0.2297
HFE,0.2303,0.3806,0.6119,0.3363,0.5424,0.5800,0.6367
SCMH1,2.6183,2.3466,2.8131,2.5266,2.9462,2.6984,2.8578
FYN,3.0798,3.7336,3.3324,3.8999,3.9727,4.3663,4.4152
HIVEP2,2.6629,3.6116,3.2431,2.7875,3.4754,3.3855,2.8656
FMO1,0.1268,0.0809,0.4191,0.2352,0.1673,0.0966,0.1447
TCEB3,1.7658,2.2033,2.3683,2.2463,2.5657,2.6419,3.1670
LYPLA2,3.1786,2.4379,2.5887,3.2161,2.8935,2.7868,2.5845
CLCN6,1.8195,2.0804,2.0325,2.5296,2.4390,3.5967,2.6422
MRC2,0.7807,0.7144,0.6804,1.2314,1.3975,1.0887,0.9139
NME1-NME2,8.1268,7.5069,8.4695,7.9190,7.6040,7.6859,7.4454
SLC6A7,2.4011,2.3422,2.0111,2.7507,1.6573,3.8243,3.0445
TSPAN9,1.3029,1.3985,1.5206,1.7383,2.3870,2.9394,5.0087
BTBD7,0.5003,0.8182,0.6948,0.7564,0.8795,1.1464,1.1670
APBA3,1.8860,1.3448,1.5204,1.8509,1.7019,1.6262,2.7017
MKS1,1.2653,1.3461,1.3740,1.5920,1.6862,1.9095,1.9633
ABHD5,1.1442,1.4785,1.5175,1.5876,1.6735,2.1118,2.3739
KAL1,1.1800,1.7888,2.1774,2.2702,2.4318,3.2054,1.0978
AKAP8L,3.3590,3.5740,3.1198,3.8341,3.9886,4.0040,4.5154
MBTD1,0.5884,0.7773,1.0336,0.7634,1.1643,0.9598,1.5115
UTP18,3.5213,3.7222,3.8701,3.4580,3.7354,3.5612,4.2014
